City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
289,Nemuro,JP,43.3236,145.575,42.46,76,84,39.17,broken clouds
290,Baoying,CN,33.2292,119.3092,51.04,55,99,5.61,overcast clouds
291,Nantucket,US,41.2835,-70.0995,59.14,94,100,19.06,light rain
292,Xiaoshi,CN,41.2971,124.1209,29.77,70,16,1.45,few clouds
293,Sao Borja,BR,-28.6606,-56.0044,71.94,63,98,3.36,overcast clouds
294,Sibsagar,IN,26.9833,94.6333,61.66,90,0,3.27,clear sky
295,Pitimbu,BR,-7.4706,-34.8086,84.79,69,40,10.33,scattered clouds
296,Souillac,MU,-20.5167,57.5167,71.98,78,20,0.0,few clouds
297,Guerrero Negro,MX,27.9769,-114.0611,67.15,51,13,13.78,few clouds
298,Buchanan,LR,5.8808,-10.0467,78.51,84,97,6.69,moderate rain
299,Bend,US,44.0582,-121.3153,39.36,79,40,4.61,scattered clouds
300,Rio Gallegos,AR,-51.6226,-69.2181,66.25,34,40,10.36,scattered clouds
301,Bonavista,CA,48.6499,-53.1147,35.4,69,100,11.54,overcast clouds
302,Ilo,PE,-17.6394,-71.3375,68.92,69,35,9.37,scattered clouds
303,Saint George,US,37.1041,-113.5841,45.43,54,100,8.05,overcast clouds
304,Codrington,AU,-38.2667,141.9667,51.87,95,100,11.52,overcast clouds
305,Kang,BW,-23.6752,22.7876,76.93,37,3,12.8,clear sky
306,Angol,CL,-37.8,-72.7167,68.23,46,85,5.95,overcast clouds
307,Cururupu,BR,-1.8283,-44.8683,87.44,57,29,7.96,scattered clouds
308,Makakilo City,US,21.3469,-158.0858,76.19,82,100,5.75,light rain
309,Bilma,NE,18.6853,12.9164,73.53,20,2,8.79,clear sky
310,Yining,CN,29.0361,114.5636,54.09,73,74,2.64,broken clouds
311,Kununurra,AU,-15.7667,128.7333,82.38,83,40,6.91,scattered clouds
312,Faya,SA,18.3851,42.4509,59.52,58,9,3.4,clear sky
313,Voi,KE,-3.3945,38.563,75.18,78,100,9.64,overcast clouds
314,Dalaba,GN,10.7,-12.25,72.52,53,39,2.71,scattered clouds
315,Longyearbyen,SJ,78.2186,15.6401,28.24,69,75,11.5,broken clouds
316,Zabol,AF,32.25,67.25,44.42,91,100,21.21,overcast clouds
317,Krasnoselkup,RU,65.7,82.4667,-13.52,87,5,10.04,clear sky
318,Sur,OM,22.5667,59.5289,79.57,50,2,7.47,clear sky
319,Asau,RO,46.4333,26.4,38.32,60,15,2.24,few clouds
320,Torbay,CA,47.6666,-52.7314,38.75,86,100,11.5,shower rain
321,Agaro,ET,7.85,36.65,59.52,94,17,2.8,light rain
322,Santiago Del Estero,AR,-27.7951,-64.2615,67.68,74,100,12.26,overcast clouds
323,Banda Aceh,ID,5.5577,95.3222,75.42,91,100,4.68,overcast clouds
324,Ambilobe,MG,-13.2,49.05,76.14,79,76,3.62,broken clouds
325,Araouane,ML,18.9048,-3.5265,85.08,14,100,8.86,overcast clouds
326,Ponta Delgada,PT,37.7333,-25.6667,64.51,72,40,10.36,scattered clouds
327,Nizhniy Kuranakh,RU,58.8353,125.4869,19.72,78,100,10.27,overcast clouds
328,Honningsvag,NO,70.9821,25.9704,35.35,87,75,8.05,broken clouds
329,Faanui,PF,-16.4833,-151.75,74.1,78,100,4.72,overcast clouds
330,Abashiri,JP,44.0213,144.2697,39.81,78,100,34.45,overcast clouds
331,Tiksi,RU,71.6872,128.8694,-14.84,99,100,4.56,overcast clouds
332,Sarh,TD,9.1429,18.3923,82.49,27,2,5.23,clear sky
333,Montepuez,MZ,-13.1256,38.9997,76.23,54,8,9.95,clear sky
334,Egvekinot,RU,66.3167,-179.1667,-3.14,84,70,3.58,broken clouds
335,Saldanha,ZA,-33.0117,17.9442,64.45,82,0,12.86,clear sky
336,Kabo,CF,7.6994,18.629,80.13,37,19,3.18,few clouds
337,Bogorodskoye,RU,56.55,37.8833,37.51,72,100,17.16,overcast clouds
338,Mount Isa,AU,-20.7333,139.5,73.17,94,35,2.3,light rain
339,Labuhan,ID,-6.8844,112.2051,80.06,84,97,4.7,light rain
340,Coquimbo,CL,-29.9533,-71.3436,67.73,55,0,14.97,clear sky
341,Bukama,CD,-9.2,25.85,70.95,93,98,2.35,overcast clouds
342,Nakhon Phanom,TH,17.3333,104.4167,72.81,81,21,5.37,few clouds
343,Saint-Augustin,CA,51.226,-58.6502,29.68,54,100,4.63,overcast clouds
344,Antsohihy,MG,-14.8796,47.9875,79.14,76,0,2.57,clear sky
345,Igarka,RU,67.4667,86.5833,-18.26,89,22,6.17,few clouds
346,Airai,TL,-8.9266,125.4092,62.1,92,100,1.3,overcast clouds
