"City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description"
"297,Gangapur,IN,26.4833,76.7167,79.66,18,0,3.15,clear sky"
"298,Rodrigues Alves,BR,-7.738,-72.6509,74.25,90,63,2.48,broken clouds"
"299,Darhan,MN,49.4867,105.9228,40.14,29,5,3.38,clear sky"
"300,Cabedelo,BR,-6.9811,-34.8339,73.4,100,40,4.61,scattered clouds"
"301,Kattivakkam,IN,13.2167,80.3167,82.4,78,20,3.44,few clouds"
"302,San Cristobal,VE,7.7669,-72.225,82.4,74,40,2.3,scattered clouds"
"303,Roanoke Rapids,US,36.4615,-77.6542,60.8,94,1,6.53,clear sky"
"304,Nicoya,CR,10.1483,-85.452,78.8,83,75,5.75,broken clouds"
"305,Acapulco,MX,16.8634,-99.8901,82.4,61,1,11.5,clear sky"
"306,Saldanha,ZA,-33.0117,17.9442,64.4,82,44,6.91,scattered clouds"
"307,Corinto,GR,37.9407,22.9573,57.99,82,20,5.06,few clouds"
"308,Kahului,US,20.8947,-156.47,80.6,69,40,18.41,scattered clouds"
"309,Saint George,US,37.1041,-113.5841,73.99,8,1,9.22,clear sky"
"310,Bac Giang,VN,21.2667,106.2,75.2,94,75,3.44,mist"
"311,Sobolevo,RU,54.4299,31.8996,41.32,87,97,9.1,overcast clouds"
"312,Vilyuysk,RU,63.7553,121.6247,16.32,85,100,6.44,overcast clouds"
"313,Boden,SE,65.8252,21.6886,33.8,80,39,3.44,scattered clouds"
"314,Ponta Do Sol,PT,32.6667,-17.1,57.99,73,4,1.99,clear sky"
"315,Aksu,CN,41.1231,80.2644,61.25,38,100,4.65,overcast clouds"
"316,Maloy,NO,61.9353,5.1136,48.99,75,81,10.36,broken clouds"
"317,Portland,US,45.5234,-122.6762,82.4,21,20,6.91,few clouds"
"318,Souillac,MU,-20.5167,57.5167,78.8,83,40,11.5,scattered clouds"
"319,Morondava,MG,-20.2833,44.2833,74.77,74,100,4.59,overcast clouds"
"320,Danilovka,RU,50.3557,44.1168,50.09,64,99,3.31,overcast clouds"
"321,Bonthe,SL,7.5264,-12.505,81.12,78,39,3.2,scattered clouds"
"322,Beringovskiy,RU,63.05,179.3167,32.94,95,88,3.36,overcast clouds"
"323,Yefremov,RU,53.1481,38.0992,41.7,88,86,6.62,overcast clouds"
"324,Ceres,US,37.5949,-120.9577,86.0,8,1,13.8,clear sky"
"325,Lata,PT,40.1629,-8.3327,59.0,74,100,1.07,overcast clouds"
"326,Kavieng,PG,-2.5744,150.7967,83.91,72,97,6.64,overcast clouds"
"327,Coihaique,CL,-45.5752,-72.0662,53.6,94,90,5.75,light rain"
"328,Chiredzi,ZW,-21.05,31.6667,56.89,90,0,2.71,clear sky"
